Phylogenetic_Order,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Validity,Examined/not examined,Monophyly,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Pempheriformes,,,Glaucosomatidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Scorpaenoidei,,Gnathanacanthidae,Valid,Not examined,_,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lutjaniformes,,,Haemulidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lobotiformes,,,Hapalogenyidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Notothenioidei,,Harpagiferidae,Valid,Examined,Monotypic*,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Pempheriformes,,,Hemerocoetidae,Valid,Not examined,_,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Cottoidei,Hexagrammales,Hexagrammidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Lophiiformes,Ceratioidei,,Himantolophidae,Valid,Examined,Monotypic*,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Perciformes,Platycephaloidei,,Hoplichthyidae,Valid,Examined,Yes,
Clade42,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Euteleosteomorpha,Neoteleostei,Eurypterygia,Ctenosquamata ,Acanthomorphata,Acanthopterygii,Percomorphaceae,Eupercaria,,,Pempheriformes,,,Howellidae,Valid,Examined,Yes,
